dup_id,canonical_id,rule,score
CHEMBL762,CHEMBL1200791,InChIKeyFull,1.0
CHEMBL1626,CHEMBL1200795,InChIKeyFull,1.0
CHEMBL1734,CHEMBL1200803,InChIKeyFull,1.0
CHEMBL639,CHEMBL1200809,InChIKeyFull,1.0
CHEMBL1363,CHEMBL1200811,InChIKeyFull,1.0
CHEMBL605993,CHEMBL1200811,InChIKeyFull,1.0
CHEMBL1262,CHEMBL1200836,InChIKeyFull,1.0
CHEMBL1382,CHEMBL1200871,InChIKeyFull,1.0
CHEMBL972,CHEMBL1200904,InChIKeyFull,1.0
CHEMBL1219,CHEMBL1200930,InChIKeyFull,1.0
CHEMBL629,CHEMBL1200964,InChIKeyFull,1.0
CHEMBL1201335,CHEMBL1201027,InChIKeyFull,1.0
CHEMBL808,CHEMBL1201049,InChIKeyFull,1.0
CHEMBL637,CHEMBL1201066,InChIKeyFull,1.0
CHEMBL41,CHEMBL1201082,InChIKeyFull,1.0
CHEMBL887,CHEMBL1201142,InChIKeyFull,1.0
CHEMBL445,CHEMBL1201156,InChIKeyFull,1.0
CHEMBL554,CHEMBL1201179,InChIKeyFull,1.0
CHEMBL2079563,CHEMBL1201185,InChIKeyFull,1.0
CHEMBL2079626,CHEMBL1201185,InChIKeyFull,1.0
CHEMBL3349614,CHEMBL1201185,InChIKeyFull,1.0
CHEMBL1572280,CHEMBL1201303,InChIKeyFull,1.0
CHEMBL1908377,CHEMBL1201303,InChIKeyFull,1.0
CHEMBL262303,CHEMBL120135,InChIKeyFull,1.0
CHEMBL505,CHEMBL1201353,InChIKeyFull,1.0
CHEMBL26501,CHEMBL1202927,InChIKeyFull,1.0
CHEMBL229181,CHEMBL1203946,InChIKeyFull,1.0
CHEMBL302075,CHEMBL1204116,InChIKeyFull,1.0
CHEMBL201170,CHEMBL1204122,InChIKeyFull,1.0
CHEMBL1204403,CHEMBL1204126,InChIKeyFull,1.0
CHEMBL572709,CHEMBL1204126,InChIKeyFull,1.0
CHEMBL1204129,CHEMBL1204128,InChIKeyFull,1.0
CHEMBL571060,CHEMBL1204128,InChIKeyFull,1.0
CHEMBL1204131,CHEMBL1204130,InChIKeyFull,1.0
CHEMBL570939,CHEMBL1204130,InChIKeyFull,1.0
CHEMBL597,CHEMBL1204146,InChIKeyFull,1.0
CHEMBL29197,CHEMBL1204168,InChIKeyFull,1.0
CHEMBL35057,CHEMBL1204189,InChIKeyFull,1.0
CHEMBL35820,CHEMBL1204199,InChIKeyFull,1.0
CHEMBL416266,CHEMBL1204203,InChIKeyFull,1.0
CHEMBL305198,CHEMBL1204264,InChIKeyFull,1.0
CHEMBL307717,CHEMBL1204285,InChIKeyFull,1.0
CHEMBL89779,CHEMBL1204294,InChIKeyFull,1.0
CHEMBL320684,CHEMBL1204306,InChIKeyFull,1.0
CHEMBL1744111,CHEMBL1204307,InChIKeyFull,1.0
CHEMBL337450,CHEMBL1204346,InChIKeyFull,1.0
CHEMBL136562,CHEMBL1204347,InChIKeyFull,1.0
CHEMBL395996,CHEMBL1204387,InChIKeyFull,1.0
CHEMBL584,CHEMBL1205,InChIKeyFull,1.0
CHEMBL289351,CHEMBL1206232,InChIKeyFull,1.0
CHEMBL1208600,CHEMBL1207227,InChIKeyFull,1.0
CHEMBL368689,CHEMBL1207227,InChIKeyFull,1.0
CHEMBL467114,CHEMBL1207972,InChIKeyFull,1.0
CHEMBL295124,CHEMBL12089,InChIKeyFull,1.0
CHEMBL123642,CHEMBL120995,InChIKeyFull,1.0
CHEMBL124561,CHEMBL120995,InChIKeyFull,1.0
CHEMBL843,CHEMBL121,InChIKeyFull,1.0
CHEMBL1229205,CHEMBL1210423,InChIKeyFull,1.0
CHEMBL2373216,CHEMBL121060,InChIKeyFull,1.0
CHEMBL1229211,CHEMBL1213165,InChIKeyFull,1.0
CHEMBL1214025,CHEMBL1214024,InChIKeyFull,1.0
CHEMBL1214027,CHEMBL1214026,InChIKeyFull,1.0
CHEMBL294616,CHEMBL1214076,InChIKeyFull,1.0
CHEMBL301702,CHEMBL1214076,InChIKeyFull,1.0
CHEMBL31421,CHEMBL1214076,InChIKeyFull,1.0
CHEMBL5087624,CHEMBL1214076,InChIKeyFull,1.0
CHEMBL555522,CHEMBL1214076,InChIKeyFull,1.0
CHEMBL1229259,CHEMBL1215083,InChIKeyFull,1.0
CHEMBL331859,CHEMBL121874,InChIKeyFull,1.0
CHEMBL366489,CHEMBL122005,InChIKeyFull,1.0
CHEMBL184514,CHEMBL122149,InChIKeyFull,1.0
CHEMBL16659,CHEMBL122193,InChIKeyFull,1.0
CHEMBL188,CHEMBL1222317,InChIKeyFull,1.0
CHEMBL420903,CHEMBL122321,InChIKeyFull,1.0
CHEMBL1229138,CHEMBL1223518,InChIKeyFull,1.0
CHEMBL331043,CHEMBL122981,InChIKeyFull,1.0
CHEMBL2069957,CHEMBL1231371,InChIKeyFull,1.0
CHEMBL2069314,CHEMBL1231372,InChIKeyFull,1.0
CHEMBL2111806,CHEMBL123227,InChIKeyFull,1.0
CHEMBL3670692,CHEMBL1232487,InChIKeyFull,1.0
CHEMBL3670693,CHEMBL1232487,InChIKeyFull,1.0
CHEMBL3670694,CHEMBL1232487,InChIKeyFull,1.0
CHEMBL3675606,CHEMBL1232492,InChIKeyFull,1.0
CHEMBL1650533,CHEMBL1232515,InChIKeyFull,1.0
CHEMBL5404470,CHEMBL1232583,InChIKeyFull,1.0
CHEMBL186522,CHEMBL1232755,InChIKeyFull,1.0
CHEMBL1358722,CHEMBL123292,InChIKeyFull,1.0
CHEMBL140970,CHEMBL1234370,InChIKeyFull,1.0
CHEMBL2146129,CHEMBL1234521,InChIKeyFull,1.0
CHEMBL4090007,CHEMBL1236620,InChIKeyFull,1.0
CHEMBL21731,CHEMBL1237135,InChIKeyFull,1.0
CHEMBL567175,CHEMBL1237164,InChIKeyFull,1.0
CHEMBL501711,CHEMBL1237210,InChIKeyFull,1.0
CHEMBL123794,CHEMBL1237295,InChIKeyFull,1.0
CHEMBL219590,CHEMBL1237316,InChIKeyFull,1.0
