dup_id,canonical_id
CHEMBL3962337,CHEMBL3400810
CHEMBL4470952,CHEMBL4450577
CHEMBL4474566,CHEMBL4450577
CHEMBL4873613,CHEMBL4868336
CHEMBL2440888,CHEMBL1563246
CHEMBL3753396,CHEMBL3752896
CHEMBL3753572,CHEMBL3752896
CHEMBL3754077,CHEMBL3752896
CHEMBL3754352,CHEMBL3752896
CHEMBL543467,CHEMBL10316
CHEMBL2368322,CHEMBL169267
CHEMBL313578,CHEMBL103307
CHEMBL3593919,CHEMBL201986
CHEMBL328710,CHEMBL296455
CHEMBL489156,CHEMBL404941
CHEMBL576349,CHEMBL404941
CHEMBL315663,CHEMBL10339
CHEMBL276815,CHEMBL13378
CHEMBL73698,CHEMBL71073
CHEMBL1034,CHEMBL139
CHEMBL1684490,CHEMBL464239
CHEMBL507361,CHEMBL450775
CHEMBL876,CHEMBL509
CHEMBL131770,CHEMBL105350
CHEMBL1173154,CHEMBL105360
CHEMBL179512,CHEMBL105360
CHEMBL116438,CHEMBL140
CHEMBL261295,CHEMBL128748
CHEMBL4061389,CHEMBL4061291
CHEMBL1257131,CHEMBL10347
CHEMBL15245,CHEMBL10347
CHEMBL31410,CHEMBL10347
CHEMBL537669,CHEMBL10347
CHEMBL275378,CHEMBL103575
CHEMBL129159,CHEMBL1036
CHEMBL129237,CHEMBL1036
CHEMBL454736,CHEMBL103817
CHEMBL2337127,CHEMBL1729254
CHEMBL1950809,CHEMBL198159
CHEMBL2042737,CHEMBL2042736
CHEMBL2042738,CHEMBL2042736
CHEMBL491889,CHEMBL491754
CHEMBL523652,CHEMBL491754
CHEMBL323281,CHEMBL319236
CHEMBL323113,CHEMBL57486
CHEMBL318361,CHEMBL104159
CHEMBL318598,CHEMBL104179
CHEMBL187635,CHEMBL106432
CHEMBL155596,CHEMBL11845
CHEMBL1255966,CHEMBL285755
CHEMBL301559,CHEMBL285755
CHEMBL305706,CHEMBL285755
CHEMBL135944,CHEMBL134326
CHEMBL269004,CHEMBL15146
CHEMBL273273,CHEMBL15146
CHEMBL2021539,CHEMBL2021524
CHEMBL2021538,CHEMBL2021525
CHEMBL2112477,CHEMBL2111687
CHEMBL26998,CHEMBL56
CHEMBL41436,CHEMBL56
CHEMBL105160,CHEMBL104210
CHEMBL326450,CHEMBL104210
CHEMBL320807,CHEMBL107317
CHEMBL320597,CHEMBL107742
CHEMBL326670,CHEMBL319927
CHEMBL3601624,CHEMBL3601623
CHEMBL470829,CHEMBL454222
CHEMBL1315166,CHEMBL104264
