a,b,rule,fp
CHEMBL1257131,CHEMBL537669,FP,1.0
CHEMBL1257131,CHEMBL31410,FP,1.0
CHEMBL1257131,CHEMBL15245,FP,1.0
CHEMBL31410,CHEMBL10347,FP,1.0
CHEMBL31410,CHEMBL537669,FP,1.0
CHEMBL31410,CHEMBL1257131,FP,1.0
CHEMBL31410,CHEMBL15245,FP,1.0
CHEMBL15245,CHEMBL10347,FP,1.0
CHEMBL15245,CHEMBL537669,FP,1.0
CHEMBL15245,CHEMBL1257131,FP,1.0
CHEMBL15245,CHEMBL31410,FP,1.0
CHEMBL103575,CHEMBL275378,FP,1.0
CHEMBL275378,CHEMBL103575,FP,1.0
CHEMBL1036,CHEMBL129159,FP,1.0
CHEMBL1036,CHEMBL129237,FP,1.0
CHEMBL129159,CHEMBL1036,FP,1.0
CHEMBL129159,CHEMBL129237,FP,1.0
CHEMBL129237,CHEMBL1036,FP,1.0
CHEMBL129237,CHEMBL129159,FP,1.0
CHEMBL103817,CHEMBL454736,FP,1.0
CHEMBL454736,CHEMBL103817,FP,1.0
CHEMBL104022,CHEMBL320402,FP,1.0
CHEMBL104022,CHEMBL296911,FP,1.0
CHEMBL320402,CHEMBL104022,FP,1.0
CHEMBL320402,CHEMBL296911,FP,1.0
CHEMBL296911,CHEMBL104022,FP,1.0
CHEMBL296911,CHEMBL320402,FP,1.0
CHEMBL104159,CHEMBL318361,FP,1.0
CHEMBL318361,CHEMBL104159,FP,1.0
CHEMBL318598,CHEMBL104179,FP,1.0
CHEMBL104179,CHEMBL318598,FP,1.0
CHEMBL1315166,CHEMBL1987756,FP,1.0
CHEMBL1315166,CHEMBL104264,FP,1.0
CHEMBL1987756,CHEMBL1315166,FP,1.0
CHEMBL1987756,CHEMBL104264,FP,1.0
CHEMBL104264,CHEMBL1315166,FP,1.0
CHEMBL104264,CHEMBL1987756,FP,1.0
CHEMBL1214049,CHEMBL104436,FP,1.0
CHEMBL1214049,CHEMBL318395,FP,1.0
CHEMBL104436,CHEMBL1214049,FP,1.0
CHEMBL104436,CHEMBL318395,FP,1.0
CHEMBL318395,CHEMBL1214049,FP,1.0
CHEMBL318395,CHEMBL104436,FP,1.0
CHEMBL4081736,CHEMBL104568,FP,1.0
CHEMBL104568,CHEMBL4081736,FP,1.0
CHEMBL318801,CHEMBL104669,FP,1.0
CHEMBL104669,CHEMBL318801,FP,1.0
CHEMBL45162,CHEMBL104722,FP,1.0
CHEMBL104722,CHEMBL45162,FP,1.0
CHEMBL278515,CHEMBL104829,FP,1.0
CHEMBL104829,CHEMBL278515,FP,1.0
CHEMBL5280240,CHEMBL10483,FP,1.0
CHEMBL10483,CHEMBL5280240,FP,1.0
CHEMBL104842,CHEMBL107754,FP,1.0
CHEMBL107754,CHEMBL104842,FP,1.0
CHEMBL356792,CHEMBL104970,FP,1.0
CHEMBL104970,CHEMBL356792,FP,1.0
CHEMBL319839,CHEMBL105029,FP,1.0
CHEMBL319839,CHEMBL53019,FP,1.0
CHEMBL105029,CHEMBL319839,FP,1.0
CHEMBL105029,CHEMBL53019,FP,1.0
CHEMBL53019,CHEMBL319839,FP,1.0
CHEMBL53019,CHEMBL105029,FP,1.0
CHEMBL45357,CHEMBL105142,FP,1.0
CHEMBL105142,CHEMBL45357,FP,1.0
CHEMBL5266498,CHEMBL10534,FP,1.0
CHEMBL10534,CHEMBL5266498,FP,1.0
CHEMBL131770,CHEMBL105350,FP,1.0
CHEMBL105350,CHEMBL131770,FP,1.0
CHEMBL179512,CHEMBL105360,FP,1.0
CHEMBL179512,CHEMBL1173154,FP,1.0
CHEMBL105360,CHEMBL179512,FP,1.0
CHEMBL105360,CHEMBL1173154,FP,1.0
CHEMBL1173154,CHEMBL179512,FP,1.0
CHEMBL1173154,CHEMBL105360,FP,1.0
CHEMBL105453,CHEMBL321335,FP,1.0
CHEMBL321335,CHEMBL105453,FP,1.0
CHEMBL105457,CHEMBL387632,FP,1.0
CHEMBL387632,CHEMBL105457,FP,1.0
CHEMBL1082832,CHEMBL105672,FP,1.0
CHEMBL1082832,CHEMBL283013,FP,1.0
CHEMBL105672,CHEMBL1082832,FP,1.0
CHEMBL105672,CHEMBL283013,FP,1.0
CHEMBL283013,CHEMBL1082832,FP,1.0
CHEMBL283013,CHEMBL105672,FP,1.0
CHEMBL24222,CHEMBL280955,FP,1.0
CHEMBL24222,CHEMBL566970,FP,1.0
CHEMBL24222,CHEMBL276825,FP,1.0
CHEMBL24222,CHEMBL10570,FP,1.0
CHEMBL280955,CHEMBL24222,FP,1.0
CHEMBL280955,CHEMBL566970,FP,1.0
CHEMBL280955,CHEMBL276825,FP,1.0
CHEMBL280955,CHEMBL10570,FP,1.0
CHEMBL566970,CHEMBL24222,FP,1.0
CHEMBL566970,CHEMBL280955,FP,1.0
CHEMBL566970,CHEMBL276825,FP,1.0
CHEMBL566970,CHEMBL10570,FP,1.0
CHEMBL276825,CHEMBL24222,FP,1.0
CHEMBL276825,CHEMBL280955,FP,1.0
CHEMBL276825,CHEMBL566970,FP,1.0
CHEMBL276825,CHEMBL10570,FP,1.0
CHEMBL10570,CHEMBL24222,FP,1.0
CHEMBL10570,CHEMBL280955,FP,1.0
CHEMBL10570,CHEMBL566970,FP,1.0
CHEMBL10570,CHEMBL276825,FP,1.0
CHEMBL105792,CHEMBL1800346,FP,1.0
CHEMBL1800346,CHEMBL105792,FP,1.0
CHEMBL105962,CHEMBL420657,FP,1.0
CHEMBL420657,CHEMBL105962,FP,1.0
CHEMBL106027,CHEMBL106910,FP,1.0
CHEMBL106910,CHEMBL106027,FP,1.0
CHEMBL145741,CHEMBL106079,FP,1.0
CHEMBL106079,CHEMBL145741,FP,1.0
CHEMBL106084,CHEMBL108995,FP,1.0
CHEMBL108995,CHEMBL106084,FP,1.0
CHEMBL106124,CHEMBL3736185,FP,1.0
CHEMBL3736185,CHEMBL106124,FP,1.0
CHEMBL106155,CHEMBL322717,FP,1.0
CHEMBL322717,CHEMBL106155,FP,1.0
CHEMBL110379,CHEMBL106190,FP,1.0
CHEMBL106190,CHEMBL110379,FP,1.0
CHEMBL1063,CHEMBL4216462,FP,1.0
CHEMBL4216462,CHEMBL1063,FP,1.0
CHEMBL320882,CHEMBL106345,FP,1.0
CHEMBL320882,CHEMBL38576,FP,1.0
CHEMBL106345,CHEMBL320882,FP,1.0
CHEMBL106345,CHEMBL38576,FP,1.0
CHEMBL38576,CHEMBL320882,FP,1.0
CHEMBL38576,CHEMBL106345,FP,1.0
CHEMBL106366,CHEMBL110933,FP,1.0
CHEMBL110933,CHEMBL106366,FP,1.0
CHEMBL187635,CHEMBL106432,FP,1.0
CHEMBL106432,CHEMBL187635,FP,1.0
CHEMBL1065,CHEMBL3989558,FP,1.0
CHEMBL1065,CHEMBL1200938,FP,1.0
CHEMBL1065,CHEMBL485253,FP,1.0
CHEMBL3989558,CHEMBL1065,FP,1.0
CHEMBL3989558,CHEMBL1200938,FP,1.0
CHEMBL3989558,CHEMBL485253,FP,1.0
CHEMBL1200938,CHEMBL1065,FP,1.0
CHEMBL1200938,CHEMBL3989558,FP,1.0
CHEMBL1200938,CHEMBL485253,FP,1.0
CHEMBL485253,CHEMBL1065,FP,1.0
CHEMBL485253,CHEMBL3989558,FP,1.0
CHEMBL485253,CHEMBL1200938,FP,1.0
CHEMBL5076314,CHEMBL106525,FP,1.0
CHEMBL106525,CHEMBL5076314,FP,1.0
CHEMBL1237044,CHEMBL1066,FP,1.0
CHEMBL1066,CHEMBL1237044,FP,1.0
