bucket_id,member
CHEMBL422639,CHEMBL342146
CHEMBL344888,CHEMBL344888
CHEMBL344888,CHEMBL342407
CHEMBL3425920,CHEMBL3425919
CHEMBL3425920,CHEMBL3425913
CHEMBL3425920,CHEMBL3425920
CHEMBL4798135,CHEMBL4750752
CHEMBL4798135,CHEMBL3425921
CHEMBL4798135,CHEMBL4761227
CHEMBL4798135,CHEMBL4798135
CHEMBL35021,CHEMBL35021
CHEMBL35021,CHEMBL34974
CHEMBL435541,CHEMBL435541
CHEMBL435541,CHEMBL35043
CHEMBL5187653,CHEMBL432079
CHEMBL5187653,CHEMBL35602
CHEMBL5187653,CHEMBL5187653
CHEMBL3577174,CHEMBL3577170
CHEMBL3577174,CHEMBL3577167
CHEMBL3577174,CHEMBL3577171
CHEMBL3577174,CHEMBL3577174
CHEMBL3577179,CHEMBL3577178
CHEMBL3577179,CHEMBL3577177
CHEMBL3577179,CHEMBL3577179
CHEMBL3609650,CHEMBL3609650
CHEMBL3609650,CHEMBL3608444
CHEMBL375319,CHEMBL375319
CHEMBL375319,CHEMBL77207
CHEMBL3982376,CHEMBL3913053
CHEMBL3982376,CHEMBL3896023
CHEMBL3982376,CHEMBL3921422
CHEMBL3982376,CHEMBL3930376
CHEMBL3982376,CHEMBL3963971
CHEMBL3982376,CHEMBL3982376
CHEMBL3974905,CHEMBL3945529
CHEMBL3974905,CHEMBL3912463
CHEMBL3974905,CHEMBL3974905
CHEMBL3965276,CHEMBL3965276
CHEMBL3965276,CHEMBL3933915
CHEMBL3955047,CHEMBL3955047
CHEMBL3955047,CHEMBL3937517
CHEMBL442426,CHEMBL442426
CHEMBL442426,CHEMBL402719
CHEMBL74300,CHEMBL74300
CHEMBL74300,CHEMBL40554
CHEMBL4085327,CHEMBL4085327
CHEMBL4085327,CHEMBL4063720
CHEMBL4093492,CHEMBL4085750
CHEMBL4093492,CHEMBL4072781
CHEMBL4093492,CHEMBL4093492
CHEMBL91417,CHEMBL413727
